"Название";"Оригинальное название";"Год";"Оценка";"Время выставления оценки"
"Бабы устроены как-то иначе";"Baby sa jakies inne";"2011";"7";"2015-02-09 15:07:58"
"Росомаха: Бессмертный (2013)";"The Wolverine";"2013";"8";"2015-02-09 15:07:33"
"Сумерки. Сага. Рассвет: Часть 1";"The Twilight Saga: Breaking Dawn — Part 1";"2011";"4";"2015-02-09 15:07:20"
"Другой мир 4: Пробуждение";"Underworld 4, Underworld: Awakening";"2012";"4";"2015-02-09 15:07:08"
"Ешь молись люби";"Eat, Pray, Love";"2010";"3";"2015-02-09 14:54:31"
"Впритык";"Due Date, Успеть вовремя, Минута в минуту";"2010";"5";"2015-02-09 14:54:20"
"Механик (2010)";"The Mechanic";"2010";"5";"2015-02-09 14:54:02"
"Побег из Вегаса";"Get Him to the Greek, Путешествие с рок-звездой, Доставить его в Грецию, Стена-волк";"2010";"10";"2015-02-09 14:53:34"
"Мрачные тени (2012)";"Dark Shadows";"2012";"7";"2015-02-09 14:52:59"
"Сайлент Хилл 2";"Silent Hill 2, Silent Hill: Revelation 3D";"2012";"6";"2015-02-09 14:52:42"
"Защитничег";"Defendor, Защитник, Защитничек, Защитнег";"2009";"8";"2015-02-09 14:52:02"
"Комната в Риме";"Habitación en Roma, Room in Rome";"2009";"6";"2015-02-09 14:51:25"
"Рыцарь дня";"Knight and Day";"2010";"5";"2015-02-09 14:51:09"
"Нечто (2011)";"The Thing";"2011";"6";"2015-02-09 14:50:49"
"Немыслимое";"Unthinkable";"2010";"7";"2015-02-09 14:50:14"
"Пастырь (2011)";"Priest, Священник";"2011";"5";"2015-02-09 14:49:40"
"Хижина в лесу";"The Cabin in the Woods";"2011";"10";"2015-02-09 14:49:30"
"Призрачный патруль";"R.I.P.D.";"2013";"7";"2015-02-09 14:48:20"
"Железный рыцарь";"Ironclad, Нерушимый";"2010";"5";"2015-02-09 14:47:47"
"Охотники за головами (2011)";"Headhunters";"2011";"7";"2015-02-09 14:47:18"
"Скотт Пилигрим против всех";"Scott Pilgrim vs. the World, Скотт Пилигрим против человечества";"2010";"10";"2015-02-09 14:46:59"
"Продавец (2009)";"The Goods: Live Hard, Sell Hard";"2009";"6";"2015-02-09 14:46:42"
"Битва Титанов (2010)";"Clash of the Titans";"2010";"3";"2015-02-09 14:46:19"
"Пипец 2";"Kick-Ass 2";"2013";"7";"2015-02-09 14:45:46"
"Пипец";"Kick-Ass, Мордобой, Надрать задницу";"2010";"5";"2015-02-09 14:45:34"
"Трон: Наследие";"Tron Legacy, Tron 2, Трон 2";"2010";"6";"2015-02-09 14:45:19"
"Мальчишник 2: Из Вегаса в Бангкок";"The Hangover Part II";"2011";"7";"2015-02-09 14:45:08"
"Мстители (2012)";"The Avengers";"2012";"8";"2015-02-09 14:44:44"
"Зеленый Фонарь (2011)";"Green Lantern";"2011";"6";"2015-02-09 14:44:25"
"Двойной Копец";"Cop Out, A Couple of Dicks, Крепкие орешки, Полный КОПец, Парочка придурков, Парочка полицейских";"2010";"6";"2015-02-09 14:44:07"
"Лэйн: Серийные испытания";"Serial Experiments Lain, Эксперименты Лэйн";"1998";"5";"2015-02-09 14:43:44"
"Эксперимент (2010)";"The Experiment";"2010";"8";"2015-02-09 14:43:12"
"Отличница легкого поведения";"Easy A, Легкомысленная";"2010";"5";"2015-02-09 14:42:54"
"РЭД 2";"Red 2";"2013";"5";"2015-02-09 14:42:36"
"РЭД";"RED. Retired extremely dangerous";"2010";"6";"2015-02-09 14:42:30"
"Гадкий я 2";"Despicable Me 2";"2013";"7";"2015-02-09 14:42:05"
"Гадкий я";"Despicable Me";"2010";"8";"2015-02-09 14:42:01"
"Запрещенная реальность";"";"2009";"3";"2015-02-09 14:41:36"
"Война Богов: Бессмертные";"Immortals";"2011";"2";"2015-02-09 14:41:14"
"Робин Гуд (2010)";"Robin Hood";"2010";"6";"2015-02-09 14:40:20"
"Легион (2010)";"Legion";"2010";"6";"2015-02-09 14:39:24"
"Время ведьм (2010)";"Season of the Witch, Охота на ведьм";"2010";"6";"2015-02-09 14:38:21"
"ATHF (2000-2008)";"Aqua Teen Hunger Force, Команда Фастфуд";"2000";"4";"2015-02-09 14:37:48"
"Команда — А";"The A-Team, Команда «А»";"2010";"4";"2015-02-09 14:37:30"
"Ученик чародея (2010)";"The Sorcerer’s Apprentice";"2010";"4";"2015-02-09 14:37:16"
"Дневник нимфоманки";"Diario de una ninfomana";"2008";"7";"2015-02-09 14:36:54"
"Как потерять друзей и заставить всех тебя ненавидеть";"How to Lose Friends & Alienate People";"2008";"7";"2015-02-09 14:36:42"
"Всегда говори «ДА»";"Yes Man";"2008";"9";"2015-02-09 14:36:23"
"Гайвер";"Guyver";"1991";"8";"2015-02-08 23:40:00"
"Восхождение Юпитер";"Jupiter Ascending";"2015";"5";"2015-02-08 20:08:40"
"Люди Икс: Первый класс";"X-Men: First Class";"2011";"8";"2015-02-07 23:01:03"
"Люди Икс: Дни минувшего будущего";"X-Men: Days of Future Past";"2014";"8";"2015-02-07 23:00:10"
"Защитники камня";"Stone Protectors";"1993";"7";"2015-02-07 22:30:42"
"Онг Бак. Тайский воин";"Ong-bak, Ong-Bak: The Thai Warrior";"2003";"8";"2015-02-07 22:11:21"
"Лига справедливости: Война";"Justice League: War";"2014";"9";"2015-02-07 19:13:04"
"Лига справедливости: Парадокс источника конфликта";"Justice League: The Flashpoint Paradox";"2013";"9";"2015-02-07 19:03:48"
"Хоббит: Пустошь Смауга";"The Hobbit: The Desolation of Smaug";"2013";"7";"2015-02-07 10:53:00"
"Хоббит: Битва пяти воинств";"The Hobbit: The Battle of the Five Armies";"2014";"7";"2015-02-07 10:52:40"
"Хоббит: Нежданное путешествие";"The Hobbit: An Unexpected Journey";"2012";"7";"2015-02-07 10:52:33"
"Плохой Санта";"Bad Santa";"2003";"4";"2015-02-07 10:51:12"
"Гриффины";"Family Guy";"1999";"6";"2015-02-07 10:50:31"
"Миллионер из трущоб";"Slumdog Millionaire";"2008";"8";"2015-02-06 19:54:21"
"Воображариум доктора Парнаса";"The Imaginarium of Doctor Parnassus";"2009";"5";"2015-02-06 16:57:55"
"Неудержимые 3";"The Expendables 3";"2014";"7";"2015-02-06 16:57:39"
"Неудержимые 2";"The Expendables 2";"2012";"7";"2015-02-06 16:57:37"
"Неудержимые (2010)";"The Expendables";"2010";"8";"2015-02-06 16:57:32"
"Джона Хекс";"Jonah Hex";"2010";"7";"2015-02-06 16:57:14"
"Принц Персии: Пески времени";"Prince of Persia: The Sands of Time";"2010";"5";"2015-02-06 16:56:59"
"Заложница (2008)";"Taken";"2007";"8";"2015-02-06 16:56:37"
"Джонни Д.";"Public Enemies";"2009";"5";"2015-02-06 16:56:23"
"Вавилон Н.Э.";"Babylon A.D.";"2008";"6";"2015-02-06 16:56:12"
"Первый мститель: Другая война";"Captain America: The Winter Soldier";"2014";"7";"2015-02-06 16:55:52"
"Первый мститель";"Captain America: The First Avenger, Капитан Америка";"2011";"8";"2015-02-06 16:55:06"
"Мститель (2008)";"The Spirit";"2008";"6";"2015-02-06 16:54:49"
"Хранители снов 3D";"Rise of the Guardians";"2012";"6";"2015-02-06 16:54:24"
"Хранители (2009)";"Watchmen";"2009";"10";"2015-02-06 16:54:05"
"Рок-н-рольщик";"RocknRolla, Рок-н-Ролла";"2008";"9";"2015-02-06 16:53:30"
"Духлесс";"ДухLess";"2011";"6";"2015-02-06 16:50:31"
"Красная шапочка (2011)";"Red Riding Hood, The Girl with the Red Riding Hood";"2011";"3";"2015-02-06 16:49:51"
"Толстяк на ринге";"Here Comes the Boom";"2012";"8";"2015-02-06 16:49:34"
"Бунтующая юность";"Протест молодости, Youth in Revolt";"2009";"8";"2015-02-06 16:49:21"
"Думай, как мужчина";"Think Like a Man";"2012";"7";"2015-02-06 16:48:52"
"Дум";"Doom";"2005";"6";"2015-02-06 16:48:29"
"Успеть за 30 минут";"30 Minutes or Less";"2011";"5";"2015-02-06 16:48:15"
"Домино (2005, 122 минуты)";"Domino";"2005";"8";"2015-02-06 16:48:00"
"Бэтмен возвращается";"Batman Returns";"1992";"5";"2015-02-06 16:47:32"
"Джуманджи";"Jumanji";"1995";"7";"2015-02-06 16:47:21"
"Крепкий орешек 2";"Die Hard 2";"1990";"7";"2015-02-06 16:47:05"
"Законопослушный гражданин";"Law Abiding Citizen";"2009";"9";"2015-02-06 16:46:53"
"Происхождение (2009)";"Creation";"2009";"5";"2015-02-06 16:46:43"
"Гарри Поттер и Дары смерти: Часть 2";"Harry Potter and the Deathly Hallows: Part II";"2011";"7";"2015-02-06 16:45:52"
"Гарри Поттер и Дары смерти: Часть 1";"Harry Potter and the Deathly Hallows: Part I";"2010";"7";"2015-02-06 16:45:50"
"Макс Пэйн";"Max Payne";"2008";"5";"2015-02-06 16:44:15"
"Наша Раша: Яйца Судьбы";"Наша Russia: Яйца Судьбы";"2010";"2";"2015-02-06 16:43:48"
"Боец (2010)";"The Fighter";"2010";"8";"2015-02-06 16:27:49"
"Зеленый Шершень (2011)";"The Green Hornet";"2011";"5";"2015-02-06 16:27:25"
"Книга Илая";"The Book of Eli";"2009";"8";"2015-02-06 16:27:13"
"История одного вампира";"Cirque du Freak: The Vampire’s Assistant";"2009";"5";"2015-02-06 16:27:03"
"Серьёзный человек";"A Serious Man";"2009";"9";"2015-02-06 16:26:47"
"Теккен (2009)";"Tekken";"2009";"7";"2015-02-06 16:26:36"
"Дело №39";"Case 39";"2007";"5";"2015-02-06 16:26:05"
"Добро пожаловать в Zомбилэнд";"Zombieland";"2009";"8";"2015-02-06 16:25:44"
"Жена путешественника во времени";"The Time Traveler’s Wife";"2009";"8";"2015-02-06 16:25:32"
"Часто задаваемые вопросы о путешествиях во времени";"Frequently Asked Questions About Time Travel";"2009";"7";"2015-02-06 16:25:17"
"Книга мастеров";"";"2009";"3";"2015-02-06 16:24:50"
"Дежа вю (2006)";"Deja Vu, Дежавю";"2006";"9";"2015-02-06 16:24:37"
"Ниндзя-убийца";"Ninja Assassin";"2009";"8";"2015-02-06 16:24:26"
"Мачете убивает";"Machete Kills";"2013";"8";"2015-02-06 16:24:12"
"Мачете";"Machete";"2010";"9";"2015-02-06 16:24:09"
"Оборотни (1998)";"Jin Roh";"1998";"6";"2015-02-06 16:23:56"
"Кровь и кость";"Blood and Bone";"2009";"7";"2015-02-06 16:23:32"
"Человек с Земли";"The Man from Earth";"2007";"5";"2015-02-06 16:22:14"
"Железобетон";"Black & White/Tekkon Kinkreet";"2006";"6";"2015-02-06 16:22:03"
"Мирный воин";"Peaceful Warrior";"2006";"5";"2015-02-06 16:21:32"
"Мачо и ботан";"21 Jump Street, Джамп стрит 21";"2012";"5";"2015-02-06 16:21:21"
"Идиократия";"Idiocracy";"2005";"10";"2015-02-06 16:21:08"
"Воины света";"Daybreakers, Люди рассвета";"2009";"9";"2015-02-06 16:20:58"
"Напряги извилины";"Get Smart";"2008";"6";"2015-02-06 16:20:39"
"Не шутите с Зоханом";"You Don’t Mess with the Zohan, Не шутите с Zоханом!";"2008";"9";"2015-02-06 16:20:20"
"Залечь на дно в Брюгге";"In Bruges";"2007";"5";"2015-02-06 16:20:07"
"Кунг-фу Панда 2";"Kung Fu Panda: The Kaboom of Doom, Кунг-фу Панда 2: Взрыв судьбы";"2011";"5";"2015-02-06 16:19:39"
"Кунг-фу Панда";"Kung Fu Panda";"2008";"6";"2015-02-06 16:19:27"
"Судный день (2008)";"Doomsday";"2008";"7";"2015-02-06 16:18:59"
"Солдаты неудачи";"Tropic Thunder";"2008";"7";"2015-02-06 16:18:44"
"Смертельная гонка 3";"Death Race 3: Inferno, Death Race: Inferno";"2013";"6";"2015-02-06 16:18:15"
"Смертельная гонка";"Death Race";"2008";"8";"2015-02-06 16:18:09"
"Хэнкок";"Хенкок, Hancock";"2008";"7";"2015-02-06 16:17:44"
"Молодость без молодости";"Youth Without Youth";"2007";"9";"2015-02-06 16:17:34"
"Обещать — не значит жениться";"He’s Just Not That Into You";"2009";"6";"2015-02-06 16:17:20"
"9 рота";"";"2005";"2";"2015-02-06 16:16:49"
"Сталинград (2013)";"Сталинград";"2013";"4";"2015-02-06 16:16:46"
"Обитаемый остров: Схватка (Фильм второй)";"";"2009";"4";"2015-02-06 16:16:38"
"Обитаемый остров: Фильм первый";"";"2008";"3";"2015-02-06 16:16:30"
"Невероятный Халк";"The Incredible Hulk";"2008";"6";"2015-02-06 16:16:13"
"Президент Линкольн: Охотник на вампиров";"Abraham Lincoln: Vampire Hunter";"2012";"8";"2015-02-06 16:15:56"
"После прочтения cжечь";"Burn After Reading, Сжечь после прочтения";"2008";"8";"2015-02-06 16:15:45"
"День когда Земля остановилась";"The Day the Earth Stood Still";"2008";"4";"2015-02-06 16:15:33"
"Generation П";"Generation P, Поколение Пи";"2011";"7";"2015-02-06 16:15:17"
"Хеллбой 2: Золотая армия";"Hellboy II: The Golden Army";"2008";"9";"2015-02-06 16:15:01"
"Железный человек 2";"Iron Man 2";"2010";"9";"2015-02-06 16:14:36"
"Железный человек 3";"Iron Man Three";"2013";"8";"2015-02-06 16:14:26"
"Железный человек (2008)";"Iron Man";"2008";"8";"2015-02-06 16:14:20"
"Гарри Поттер и Принц-полукровка";"Harry Potter and the Half-Blood Prince";"2009";"7";"2015-02-06 16:14:02"
"Август Раш";"August Rush, Августовская лихорадка";"2007";"8";"2015-02-06 16:13:50"
"Начало (2010)";"Inception, Точка отправления";"2010";"8";"2015-02-06 16:13:18"
"Человек из стали";"Man of Steel";"2013";"8";"2015-02-06 16:12:42"
"Темный рыцарь";"The Dark Knight";"2008";"9";"2015-02-06 16:12:09"
"Темный рыцарь: Возрождение легенды";"The Dark Knight Rises";"2012";"9";"2015-02-06 16:12:02"
"Темный рыцарь: Возрождение легенды: Часть 2";"Batman: The Dark Knight Returns, Part 2";"2013";"10";"2015-02-06 16:11:47"
"Темный рыцарь: Возрождение легенды: Часть 1";"Batman: The Dark Knight Returns, Part 1";"2012";"10";"2015-02-06 16:11:43"
"Особо опасен (2008)";"Wanted";"2008";"6";"2015-02-06 16:11:00"
"День радио (2008)";"";"2008";"6";"2015-02-06 16:10:45"
"Экзистенция";"EXistenZ, Бытие";"1999";"10";"2015-02-06 16:10:26"
"Семь жизней";"Seven Pounds, 7 жизней";"2008";"7";"2015-02-06 16:10:12"
"Семь";"Seven, Se7en";"1995";"8";"2015-02-06 16:09:20"
"Телепорт";"Jumper";"2008";"6";"2015-02-06 16:08:28"
"99 франков";"99 francs";"2007";"10";"2015-02-06 16:08:13"
"Джуно";"Juno";"2007";"6";"2015-02-06 16:08:02"
"Паприка (2006)";"Papurika, Paprika";"2006";"10";"2015-02-06 16:07:24"
"Суини Тодд: демон-парикмахер с Флит-стрит (2007)";"Sweeney Todd: The Demon Barber of Fleet Street";"2007";"9";"2015-02-06 16:07:11"
"Самый лучший фильм";"";"2007";"6";"2015-02-06 16:06:53"
"Чужие против Хищника: Реквием";"Aliens vs. Predator: Requiem, Alien vs. Predator: Survival of the Fittest, Чужой против хищника 2. Выживает сильнейший";"2007";"4";"2015-02-06 16:06:35"
"Илья Муромец и Соловей Разбойник";"";"2007";"6";"2015-02-06 16:06:24"
"Возврат (2005, Великобритания)";"Cashback, Сдача";"2005";"10";"2015-02-06 16:05:27"
"Южный Парк: большой длинный необрезанный";"South Park: Bigger, Longer & Uncut";"1999";"8";"2015-02-06 16:05:09"
"Легенда №17";"";"2012";"4";"2015-02-06 16:04:46"
"Я — легенда";"I am Legend";"2007";"7";"2015-02-06 16:04:39"
"Во имя короля: История осады подземелья";"In the Name of the King: A Dungeon Siege Tale";"2006";"4";"2015-02-06 16:04:05"
"Перси Джексон и похититель молний";"Percy Jackson & the Olympians: The Lightning Thief";"2010";"4";"2015-02-06 16:03:51"
"Район №9";"District 9";"2009";"9";"2015-02-06 16:03:38"
"D — охотник на вампиров";"Vampire hunter D";"1985";"7";"2015-02-06 16:03:20"
"Остров проклятых";"Shutter Island";"2009";"7";"2015-02-06 16:03:03"
"Соломон Кейн";"Solomon Kane";"2009";"6";"2015-02-06 16:02:46"
"На игре";"Геймеры. В поисках цели";"2009";"5";"2015-02-06 16:02:26"
"Геймер (2009)";"Gamer, Citizen Game";"2009";"10";"2015-02-06 16:02:04"
"Супермен: Судный день";"Superman: Doomsday";"2007";"7";"2015-02-06 16:01:44"
"Пандорум";"Pandorum";"2009";"8";"2015-02-06 16:01:31"
"Киви";"Kiwi!";"2006";"8";"2015-02-06 16:01:19"
"Шерлок Холмс";"Sherlock Holmes";"2009";"8";"2015-02-06 16:00:46"
"Бруно";"Bruno";"2009";"6";"2015-02-06 16:00:29"
"Мальчишник в Вегасе";"The Hangover";"2009";"7";"2015-02-06 16:00:12"
"Господин Никто (2009)";"Mr. Nobody, Мистер Никто";"2009";"10";"2015-02-06 14:56:45"
"Похороните меня за плинтусом";"";"2008";"7";"2015-02-06 14:56:32"
"Из Парижа с любовью";"From Paris with Love";"2010";"5";"2015-02-06 14:56:18"
"Луна 2112";"Moon";"2009";"7";"2015-02-06 14:56:06"
"Она (2013)";"Her";"2013";"8";"2015-02-06 00:19:21"
"Там где живут чудовища (2009)";"Where the Wild Things Are";"2009";"8";"2015-02-06 00:18:36"
"Старая добрая оргия";"A Good Old Fashioned Orgy, Хорошая старомодная оргия";"2011";"6";"2015-02-06 00:18:25"
"13-й район: Ультиматум";"Banlieue 13 Ultimatum";"2009";"7";"2015-02-06 00:18:08"
"Солт";"Salt";"2010";"5";"2015-02-06 00:17:57"
"Суррогаты";"Surrogates";"2009";"5";"2015-02-06 00:17:47"
"Милые кости";"The Lovely Bones";"2009";"8";"2015-02-06 00:17:35"
"Стальной алхимик: Завоеватель Шамбалы";"Fullmetal Alchemist: The Movie — Conqueror of Shamballa, Gekijouban Hagane no Renkinjutsushi — Shanbara wo Yuku Mono";"2005";"8";"2015-02-06 00:17:18"
"Тело Дженнифер";"Jennifer’s Body";"2009";"9";"2015-02-06 00:16:52"
"Звездный путь (2009)";"Star Trek XI, Звездный путь 11";"2009";"9";"2015-02-06 00:16:23"
"G.I. Joe: Бросок кобры 2";"G.I. Joe 2: Retaliation";"2013";"3";"2015-02-06 00:16:04"
"Бросок кобры";"G.I. Joe: The Rise of Cobra";"2009";"5";"2015-02-06 00:15:55"
"Футурама: В дикую зеленую даль";"Futurama: Into the Wild Green Yonder";"2009";"7";"2015-02-06 00:15:45"
"Мертвые как я: Жизнь после смерти";"Dead Like Me: Life After Death";"2009";"9";"2015-02-06 00:15:29"
"Пятое измерение";"Push";"2009";"7";"2015-02-06 00:15:05"
"Коралина в Cтране Кошмаров";"Coraline";"2009";"7";"2015-02-06 00:14:39"
"Бесславные ублюдки";"Inglourious Basterds";"2009";"9";"2015-02-06 00:14:33"
"Десятидюймовый герой";"Ten Inch Hero";"2006";"5";"2015-02-06 00:13:30"
"500 дней лета";"500 Days of Summer";"2009";"10";"2015-02-06 00:13:05"
"Любовь в большом городе (2009)";"";"2009";"4";"2015-02-06 00:12:50"
"Армитаж: Полиматрица";"Armitage: Poly Matrix";"1997";"6";"2015-02-06 00:11:54"
"Легкое поведение (2008)";"Easy Virtue";"2008";"5";"2015-02-06 00:11:35"
"Адреналин 2: Высокое напряжение";"Crank 2: High Voltage";"2009";"9";"2015-02-06 00:10:07"
"Люди Икс. Начало. Росомаха";"X-Men Origins: Wolverine";"2009";"8";"2015-02-06 00:09:55"
"Ледниковый период 3: Эра динозавров";"Ice Age: Dawn of the Dinosaurs";"2009";"5";"2015-02-06 00:09:39"
"Аватар (2009)";"Avatar, Avatar 3D";"2009";"6";"2015-02-06 00:09:26"
"Интерстеллар";"Interstellar";"2014";"9";"2015-02-05 23:44:20"
"Гран Торино";"Gran Torino";"2008";"8";"2015-02-05 17:37:57"
"Ух ты говорящая рыба";"";"1983";"8";"2015-02-05 17:36:07"
"В синем море в белой пене";"";"1984";"7";"2015-02-05 17:35:47"
"Жихарка (2005)";"";"2005";"8";"2015-02-05 17:35:23"
"Одиночество в сети";"S@motnosc w sieci";"2006";"4";"2015-02-05 17:35:06"
"Зодиак (2007)";"Zodiac";"2007";"5";"2015-02-05 17:34:53"
"1612: Хроники Смутного времени";"1612";"2007";"6";"2015-02-05 17:34:34"
"SuperПерцы";"Superbad, Супер-перцы";"2007";"5";"2015-02-05 17:34:15"
"Фунтик в цирке";"";"1988";"4";"2015-02-05 16:30:02"
"Старикам тут не место";"No Country for Old Men";"2007";"8";"2015-02-05 16:29:17"
"Как трусливый Роберт Форд убил Джесси Джеймса";"The Assassination of Jesse James by the Coward Robert Ford";"2007";"4";"2015-02-05 16:28:58"
"Пристрели их";"Shoot Em Up";"2007";"10";"2015-02-05 16:28:39"
"Хитмэн (2007)";"Hitman";"2007";"4";"2015-02-05 16:28:16"
"Большой Стэн";"Big Stan";"2007";"6";"2015-02-05 16:27:58"
"12";"Двенадцать";"2007";"7";"2015-02-05 16:27:34"
"Беовульф (2007)";"Beowulf";"2007";"6";"2015-02-05 16:27:11"
"Неваляшка (2007)";"";"2007";"4";"2015-02-05 16:26:58"
"Следопыт (2007)";"Pathfinder";"2007";"5";"2015-02-05 16:26:45"
"Рэмбо 4";"John Rambo";"2008";"5";"2015-02-05 16:26:20"
"Симпсоны в кино";"The Simpsons Movie";"2007";"7";"2015-02-05 16:26:05"
"Звездная пыль";"Stardust";"2007";"6";"2015-02-05 16:25:46"
"Пенелопа (2006)";"Penelope";"2006";"7";"2015-02-05 16:25:04"
"Рокки Бальбоа";"Rocky Balboa";"2006";"7";"2015-02-05 16:24:51"
"Планета страха";"Grindhouse. Planet Terror";"2007";"8";"2015-02-05 16:24:28"
"Школа рока";"The School of Rock";"2003";"7";"2015-02-05 16:24:14"
"Рататуй (2007, США)";"Ratatouille";"2007";"6";"2015-02-05 16:24:01"
"Вий (2013)";"";"2013";"4";"2015-02-05 16:23:06"
"28 дней спустя";"28 Days Later…";"2002";"7";"2015-02-05 16:22:37"
"Персонаж";"Stranger Than Fiction";"2006";"9";"2015-02-05 16:22:23"
"Доказательство смерти";"Death Proof; Смертенепроницаемый";"2007";"6";"2015-02-05 16:22:05"
"300 спартанцев (2006)";"300";"2006";"10";"2015-02-05 16:21:32"
"Монгол";"";"2007";"5";"2015-02-05 16:21:17"
"Типа крутые легавые";"Hot Fuzz";"2007";"8";"2015-02-05 16:21:04"
"Даю год";"I Give It a Year";"2012";"7";"2015-02-05 16:20:53"
"Престиж";"The Prestige";"2006";"7";"2015-02-05 16:20:40"
"Немножко беременна";"Knocked Up";"2007";"5";"2015-02-05 16:20:27"
"Почти человек (2013)";"Almost Human";"2013";"6";"2015-02-05 16:20:07"
"Крепкий орешек 4.0";"Live Free or Die Hard";"2007";"8";"2015-02-05 16:19:53"
"Гарри Поттер и Орден Феникса";"Harry Potter and the Order of the Phoenix";"2007";"6";"2015-02-05 16:19:16"
"Трансформеры: Тёмная сторона Луны";"Темная сторона Луны, Transformers, Трансформеры 3, Transformers: Dark of the Moon, Обратная сторона Луны";"2011";"3";"2015-02-04 23:05:54"
"Трансформеры (2007)";"Transformers";"2007";"9";"2015-02-04 23:05:02"
"Пираты Карибского моря 3: На краю Света";"Pirates of the Caribbean: At World’s End";"2007";"5";"2015-02-04 23:04:09"
"Лига Справедливости: Трон Атлантиды";"Justice League: Throne of Atlantis";"2015";"8";"2015-02-04 22:43:23"
"Левиафан";"Leviathan";"2014";"1";"2015-02-03 23:27:12"
"Капитан Филлипс";"Captain Phillips";"2013";"5";"2015-02-03 22:35:21"
"Бессмертные: Война миров";"Immortel (ad vitam)";"2004";"4";"2015-02-03 22:32:40"
"Настоящий детектив";"True Detective";"2013";"9";"2015-02-02 23:04:44"
"Призрак в доспехах";"Ghost in the Shell";"1995";"8";"2015-02-02 17:10:06"
"Солнечный удар (2014)";"";"2014";"4";"2015-02-01 19:34:29"
"Карты деньги и два ствола";"Lock Stock and Two Smoking Barrels";"1998";"8";"2015-02-01 18:39:09"
"Бёрдмэн";"Birdman";"2014";"9";"2015-02-01 01:17:08"
"Порко Россо";"Porco Rosso, Kurenai no Buta, Красный Свин";"1992";"6";"2015-01-30 17:22:00"
"1408";"1408";"2007";"8";"2015-01-30 17:21:46"
"28 недель спустя…";"28 Weeks Later…";"2007";"6";"2015-01-30 17:21:26"
"Трое из Простоквашино";"";"1978";"5";"2015-01-30 17:21:14"
"Темный город";"Dark City";"1998";"9";"2015-01-30 17:20:49"
"Пираты силиконовой долины";"Pirates Of Silicon Valley";"1999";"4";"2015-01-30 17:20:37"
"Обезьянки и грабители";"";"1985";"5";"2015-01-30 17:20:04"
"Малыш и Карлсон";"";"1968";"4";"2015-01-30 17:19:41"
"Восставший из ада (1987)";"Hellraiser";"1987";"7";"2015-01-30 17:19:19"
"Бэтмен: Маска фантазма";"Batman: Mask of the Phantasm";"1993";"6";"2015-01-30 17:18:44"
"Акира (1988)";"Akira";"1988";"10";"2015-01-30 17:18:20"
"Любовь-морковь";"";"2007";"4";"2015-01-30 17:18:07"
"Такси 4";"Taxi 4";"2007";"6";"2015-01-30 17:17:55"
"Параграф 78: Фильм первый";"";"2007";"3";"2015-01-30 17:17:39"
"Помутнение";"A Scanner Darkly";"2006";"9";"2015-01-30 17:17:26"
"Парфюмер: История одного убийцы";"Perfume: The Story of a Murderer";"2006";"7";"2015-01-30 17:17:12"
"Бой с тенью 2: Реванш";"";"2007";"5";"2015-01-30 17:17:00"
"Евротур";"Eurotrip";"2004";"6";"2015-01-30 16:24:00"
"Гарри Поттер и кубок огня";"Harry Potter and the Goblet of Fire";"2005";"7";"2015-01-30 16:23:38"
"Терминал (2004)";"The Terminal";"2004";"8";"2015-01-30 16:23:16"
"Машинист (2004)";"El Maquinista";"2004";"8";"2015-01-30 16:23:00"
"Шпионские страсти (2006)";"L’entente cordiale";"2006";"4";"2015-01-30 16:22:42"
"Счастливое число Слевина";"Lucky Number Slevin";"2005";"8";"2015-01-30 16:22:26"
"Хеллбой: Герой из пекла";"Hellboy";"2004";"8";"2015-01-30 16:22:08"
"Час расплаты";"Paycheck";"2003";"8";"2015-01-30 16:21:53"
"Худеющий";"Thinner";"1996";"7";"2015-01-30 16:21:34"
"Шестиструнный самурай";"Six-String Samurai";"1998";"9";"2015-01-30 15:54:35"
"Красавица и чудовище (1991)";"Beauty and the Beast";"1991";"5";"2015-01-30 15:54:01"
"Ной (2014)";"Noah";"2014";"3";"2015-01-30 15:53:21"
"Черный лебедь (2010)";"Black Swan";"2010";"6";"2015-01-30 15:53:14"
"Рестлер";"The Wrestler";"2008";"6";"2015-01-30 15:53:00"
"Пи";"Pi";"1998";"7";"2015-01-30 15:52:52"
"S.W.A.T.: Спецназ города ангелов";"S.W.A.T.";"2003";"7";"2015-01-30 15:50:21"
"Король Ральф";"King Ralph";"1991";"5";"2015-01-30 15:50:05"
"Ральф";"Wreck-It Ralph, Ральф-разрушитель";"2012";"7";"2015-01-30 15:49:56"
"Форсаж 6";"The Fast and the Furious 6";"2013";"7";"2015-01-30 15:48:46"
"Форсаж 4";"Fast and Furious";"2009";"6";"2015-01-30 15:48:34"
"Тройной форсаж: Токийский Дрифт";"The Fast and the Furious: Tokyo Drift";"2006";"7";"2015-01-30 15:48:22"
"Форсаж 5";"Fast Five";"2011";"7";"2015-01-30 15:48:14"
"Двойной форсаж";"2 Fast 2 Furious, Форсаж 2";"2003";"7";"2015-01-30 15:47:40"
"Донни Дарко";"Donnie Darko";"2001";"10";"2015-01-30 15:47:25"
"Король вечеринок";"Van Wilder";"2001";"6";"2015-01-30 15:46:50"
"Костолом (2001)";"Mean Machine";"2001";"6";"2015-01-30 15:46:04"
